Tag ID#1,Tag ID#2,Date Tagged,R1Date,R2Date,R3Date,dal1,dal2,dal3,R1Tag,R2Tag,R3Tag,TagSite,Site Recap1,Site Recap2,Site Recap3,Site Recap4,Inside/Outside Tagged,Inside/Outside Recap1,Inside/Outside Recap2,Inside/Outside Recap3,Inside/Outside Recap4,Fin Clip ID tagging,Species,SL (mm) Tagged,SL (mm) Recap1,SL (mm) Recap2,SL (mm) Recap3,TL (in) Recap1,TL (in) Recap2,"If recapture, released/kept? Recap1","If recapture, released/kept? Recap2","If recapture, released/kept? Recap3","If recapture, released/kept? Recap4"
1478,1479,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,239,,,,,,,,,
1480,1481,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,259,,,,,,,,,
1482,1483,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,234,,,,,,,,,
1484,1485,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,289,,,,,,,,,
1486,1487,10/24/2012,12/6/2012,6/24/2014,,43,608,,1,,,La Jolla Cove,La Jolla Cove,La Jolla Cove,,,Inside,Inside,Inside,,,,kelp bass,306,298,339,,,,"released, tag left in place","released, tag left in place",,
1488,1489,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,250,,,,,,,,,
1492,1493,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,280,,,,,,,,,
1494,1495,10/24/2012,6/20/2013,,,,,,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,290,302,,,,,"released, tag left in place",,,
1496,1497,10/24/2012,12/6/2012,,,43,,,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,256,265,,,,,"released, tag left in place",,,
1498,1499,10/24/2012,6/24/2014,,,,,608,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,262,283,,,,,"released, tag left in place",,,
1513,1512,10/25/2012,,,,,,,,,,Point Loma,,,,,Outside,,,,,,kelp bass,251,,,,,,,,,
1515,1514,10/25/2012,,,,,,,,,,Point Loma,,,,,Outside,,,,,,kelp bass,263,,,,,,,,,
1520,1519,10/25/2012,,,,,,,,,,Point Loma,,,,,Outside,,,,,,kelp bass,248,,,,,,,,,
1529,1530,10/25/2012,,,,,,,,,,Point Loma,,,,,Outside,,,,,,kelp bass,252,,,,,,,,,
1531,1532,10/25/2012,,,,,,,,,,Point Loma,,,,,Outside,,,,,,kelp bass,288,,,,,,,,,
1540,1541,10/25/2012,,,,,,,,,,Point Loma,,,,,Outside,,,,,,kelp bass,253,,,,,,,,,
1553,1554,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,398,,,,,,,,,
1561,1562,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,272,,,,,,,,,
1563,1564,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,300,,,,,,,,,
1568,1569,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,312,,,,,,,,,
1571,1572,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,224,,,,,,,,,
1573,1574,11/30/2012,6/24/2014,,,,,571,1,,,La Jolla,La Jolla,,,,Outside,inside,,,,,kelp bass,248,292,,,,,"released, tag left in place",,,
1581,1580,11/30/2012,6/22/2013,,,,,,2,,,La Jolla,La Jolla,,,,Outside,Outside,,,,,kelp bass,332,,,,,,kept,,,
1584,1583,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,322,,,,,,,,,
1587,1586,11/30/2012,9/17/2014,,,,,656,1,,,La Jolla,La Jolla Cove,,,,Outside,inside,,,,,kelp bass,260,333,,,,,"released, tag left in place",,,
1595,1594,11/30/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,244,,,,,,,,,
1601,1602,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,248,,,,,,,,,
1603,1604,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,248,,,,,,,,,
1605,1606,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,495,,,,,,,,,
1608,1609,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,234,,,,,,,,,
1610,1611,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,311,,,,,,,,,
1613,1614,10/24/2012,7/1/2014,,,,,615,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,222,260,,,,,"released, tag left in place",,,
1615,1616,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,275,,,,,,,,,
1617,1618,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,280,,,,,,,,,
1619,1620,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,361,,,,,,,,,
1621,1622,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,239,,,,,,,,,
1623,1624,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,242,,,,,,,,,
1626,1627,10/24/2012,7/29/2013,3/16/2014,,278,508,,1,1,,La Jolla Cove,San Clemente,San Clemente,,,Inside,Outside,Outside,,,,kelp bass,225,,,,,,"released, tag left in place",released without tag,,
1630,1631,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,235,,,,,,,,,
1632,1633,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,244,,,,,,,,,
1636,1637,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,277,,,,,,,,,
1638,1639,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,310,,,,,,,,,
1640,1641,10/24/2012,12/6/2012,,,43,,,2,,,La Jolla Cove,La Jolla Cove,,,,Inside,Inside,,,,,kelp bass,296,296,,,,,"released, tag left in place",,,
1642,1643,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,224,,,,,,,,,
1644,1645,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,231,,,,,,,,,
1646,1647,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,254,,,,,,,,,
1648,1649,10/24/2012,,,,,,,,,,La Jolla Cove,,,,,Inside,,,,,,kelp bass,229,,,,,,,,,
1664,1663,11/2/2012,,,,,,,,,,La Jolla,,,,,Outside,,,,,,kelp bass,268,,,,,,,,,
